uuid,Region,Sow_DOY,Density,Fer_N,Fer_P,Fer_K,Fer_Count,Pest_Count,Pest_Cost,Irr_Count,Irr_Elec,Irr_Sprinkler,Irr_None,Irr_Drip,Irr_Flood,Lodging,Precip,Rad,RH,Wind,Yield,observed_irrigation_mode,sowing_cost_yuan_per_ha,irrigation_device_cost_yuan_per_ha,irrigation_running_cost_yuan_per_ha,fertilization_cost_yuan_per_ha,total_cost_yuan_per_ha
bccb0210-41d6-4f85-9a13-39eeaee9774d,0,166,64680,148.5,54.0,67.5,1,2,684.75,1,388.95,1,0,0,0,0,505.4,1770.23,75.27,8.33,12200.1,Sprinkler,1133.85,1304.4,343.95,2328.75,14045.7
c31095f7-edbc-4010-ba9d-75603910db44,1,171,61290,225.0,45.0,90.0,1,0,0.0,1,300.0,0,0,1,0,0,469.9,1855.86,74.62,7.69,13681.05,Drip,1320.0,1500.0,255.0,1950.0,12150.0
c5bf8362-80cd-4dde-b219-75fdb31f62ec,1,161,56595,252.0,54.0,54.0,1,0,0.0,2,600.0,1,0,0,0,0,486.8,2054.52,72.97,7.69,11046.0,Sprinkler,1140.0,600.0,510.0,2550.0,11925.0
c648e286-54e5-4658-b7a1-efd2257902f4,0,167,54945,148.5,54.0,67.5,1,1,269.25,1,1222.8,1,0,0,0,19,504.2,1748.7,75.48,8.33,9502.5,Sprinkler,1155.15,1218.0,297.0,2070.0,10259.4
c6def630-aa7a-4169-b374-be8c2edf0d8b,1,167,64470,234.3,47.59125,85.92675,3,2,741.15,0,0.0,0,1,0,0,0,446.8,1919.83,72.84,7.7,10951.2,NoIrrigation,1260.0,0.0,0.0,2819.25,11570.4
c797d3ab-aab0-457d-823c-5fa6f9afad0d,1,169,50070,234.3,47.59125,85.92675,3,2,741.15,0,0.0,0,1,0,0,0,446.4,1877.31,73.55,7.7,9582.9,NoIrrigation,1260.0,0.0,0.0,2819.25,10820.4
c94d52c0-6519-4ab1-b981-7abb78447f69,1,166,95835,252.0,108.0,108.0,1,3,600.0,1,412.05,1,0,0,0,7,438.9,1936.95,74.95,8.36,8970.0,Sprinkler,1800.0,1365.0,300.0,3000.0,14490.0
d0b82908-df7c-43ff-b6fd-905b73e16d5e,1,161,56685,217.5,75.0,90.0,1,1,300.0,2,600.0,0,0,1,0,0,450.8,2060.09,73.53,8.42,11189.1,Drip,1170.0,1800.0,510.0,2625.0,10905.0
d172b906-253e-4ec4-8d9f-071d7a5c4da3,1,169,57840,234.3,47.59125,85.92675,3,2,741.15,0,0.0,0,1,0,0,0,446.4,1877.31,73.55,7.7,10720.95,NoIrrigation,1305.0,0.0,0.0,2819.25,10865.4
d37fe32c-f5bd-4992-afdd-59bb774a4e3d,1,171,76725,204.0,24.0,36.0,1,2,255.0,1,420.0,0,0,1,0,0,517.4,1852.03,75.75,7.6,12213.75,Drip,1425.0,2250.0,379.35,2100.0,14659.35
d72a3f56-7423-4b63-a882-6d0019326a4b,1,163,63090,217.5,75.0,90.0,1,1,300.0,2,600.0,0,0,1,0,0,450.8,2009.17,73.91,8.42,14728.5,Drip,1170.0,1800.0,510.0,2625.0,10905.0
dac76e20-e834-4074-b06b-33da977e7033,1,172,61710,225.0,45.0,90.0,1,0,0.0,1,300.0,0,0,1,0,0,467.0,1836.21,74.57,7.69,13329.45,Drip,1320.0,1500.0,255.0,1950.0,12150.0
db2ea84c-2f30-4578-9879-394d632fdac4,0,169,49800,217.5,37.5,45.0,1,2,428.7,1,691.35,0,0,0,1,9,504.2,1705.91,76.11,6.8,7970.1,Flood,1051.5,0.0,646.35,2475.0,12261.6
dd456216-88ea-42ee-9a1e-7d828dcf80d6,1,168,75735,123.75,123.75,123.75,1,1,150.0,1,401.85,0,0,1,0,19,525.4,1905.87,73.2,8.77,12100.95,Drip,1275.0,1500.0,300.0,1980.0,11205.0
e098402a-6893-4ce9-9fa0-74c358966c8a,1,169,80715,195.0,90.0,90.0,1,3,480.0,0,0.0,0,0,1,0,13,475.7,1875.46,73.89,8.93,10056.9,Drip,1350.0,1800.0,0.0,2475.0,12105.0
e1b135d6-f140-44c0-89be-9b3c61646f30,0,166,53355,165.0,60.0,75.0,1,2,597.0,1,276.9,0,0,0,1,4,505.4,1770.23,75.27,8.33,11117.85,Flood,1008.0,291.6,343.5,2587.5,12327.6
e67e73a4-9c32-4c2f-8f53-75f245bfb09a,0,166,51555,150.0,30.0,30.0,1,2,513.0,1,81.45,1,0,0,0,0,505.4,1770.23,75.27,8.33,9337.8,Sprinkler,1219.95,1249.95,765.0,1800.0,11172.9
f8f62038-89fa-472d-89e5-15a54243abd0,1,171,66330,181.5,66.0,82.5,1,3,90.0,1,825.0,0,0,1,0,0,471.9,1853.93,75.38,8.03,10795.35,Drip,1530.0,2520.0,475.5,2577.75,15443.25
fcde1a9e-a852-4c9f-a23c-b153a5d5641d,1,174,74550,206.25,82.5,82.5,1,3,172.5,2,900.0,1,0,0,0,0,513.9,1791.35,74.93,8.3,10721.85,Sprinkler,1275.0,975.0,570.0,2970.0,14962.5
